Dataset,Model,delta_f1,ci_low,ci_high,delta_f1_formatted,p_holm,sig
ASTD,AraBERTv2,-0.044919,-0.079311,-0.009600,-0.045 [-0.079–-0.010],0.0236,✓
ASTD,EgyBERT,-0.033646,-0.064830,-0.001852,-0.034 [-0.065–-0.002],0.0362,✓
