dataset,model,n,f1_mean,f1_std,f1_ci95,acc_mean,acc_std,acc_ci95
ASTD,arabert,5,0.629094,0.018336,0.022767,0.752990,0.015074,0.018717
ASTD,egybert,5,0.652456,0.010483,0.013017,0.773814,0.006823,0.008472
ASTD,marbert,5,0.666089,0.010544,0.013093,0.784742,0.009899,0.012291
